Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2011M01;158.284
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2010M12;134.434
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2010M11;147.629
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2010M10;128.662
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2010M09;145.379
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2010M08;152.562
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2010M07;168.862
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2010M06;156.015
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2010M05;161.050
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2010M04;149.192
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2010M03;167.920
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2010M02;166.946
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2010M01;155.523
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2009M12;137.473
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2009M11;153.342
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2009M10;148.491
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2009M09;152.738
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2009M08;134.471
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2009M07;160.280
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2009M06;161.912
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2009M05;152.253
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2009M04;143.227
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2009M03;169.440
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2009M02;165.094
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2009M01;167.048
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2008M12;149.829
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2008M11;165.844
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2008M10;181.321
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2008M09;178.707
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2008M08;147.194
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2008M07;185.826
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2008M06;182.610
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2008M05;194.125
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2008M04;213.805
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2008M03;179.856
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2008M02;213.499
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2008M01;236.230
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2007M12;170.712
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2007M11;211.977
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2007M10;214.434
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2007M09;205.942
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2007M08;194.223
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2007M07;221.531
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2007M06;228.666
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2007M05;254.644
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2007M04;211.430
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2007M03;263.039
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2007M02;246.103
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2007M01;275.724
